f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
0.5661660432815552,0.2786743938922882,-0.32136762142181396,0.6939406394958496,0.23432953655719757,-0.5782848000526428,0.6757686734199524,0.24393872916698456,0.038118768483400345,0.8202964663505554,0.5617321729660034,-0.897262454032898,0.7444013357162476,0.5720854997634888,0.4441894590854645,0.9878743290901184,1.4656530618667603,-0.3869752287864685,0.880743145942688,1.4995921850204468,0.3958754539489746,good
0.471699059009552,0.24330200254917145,-0.15938524901866913,0.5933756828308105,0.20457570254802704,-0.4232458174228668,0.5712325572967529,0.21335288882255554,0.16214749217033386,0.6932865381240845,0.5021722316741943,-0.7358940839767456,0.6636254191398621,0.5302632451057434,0.5185170769691467,0.8437182307243347,1.3741954565048218,-0.3650332987308502,0.7591477632522583,1.3707653284072876,0.3724750280380249,good
0.4844614863395691,0.24669885635375977,-0.24737422168254852,0.6098352670669556,0.21082760393619537,-0.5108487606048584,0.5885244011878967,0.21485371887683868,0.05804017186164856,0.7026727795600891,0.5157642364501953,-0.7920812368392944,0.6860011219978333,0.5326042175292969,0.43985509872436523,0.8565446138381958,1.3877946138381958,-0.35439398884773254,0.7785300612449646,1.3923765420913696,0.3624161183834076,good
0.516229510307312,0.24098560214042664,-0.23514482378959656,0.6474202871322632,0.2035505324602127,-0.47257357835769653,0.6099503040313721,0.2151242196559906,0.09852205216884613,0.7593239545822144,0.5041082501411438,-0.7761744260787964,0.6851569414138794,0.536089301109314,0.462385356426239,0.879571259021759,1.3782165050506592,-0.36453869938850403,0.7866494655609131,1.3823790550231934,0.37283533811569214,good
0.5166140794754028,0.23920345306396484,-0.27357953786849976,0.6475621461868286,0.18399137258529663,-0.5387741327285767,0.6062070727348328,0.19872556626796722,0.054634056985378265,0.7737786769866943,0.5032205581665039,-0.8345524072647095,0.6713286638259888,0.5372902154922485,0.4217749536037445,0.8979514241218567,1.4109952449798584,-0.3777722716331482,0.7910939455032349,1.4224506616592407,0.3856213092803955,good
0.5330194234848022,0.23940591514110565,-0.3522678017616272,0.6551247835159302,0.18509119749069214,-0.5608466267585754,0.6017683744430542,0.20417962968349457,0.01719537377357483,0.7987860441207886,0.5070264339447021,-0.8448861241340637,0.6576815247535706,0.5440464019775391,0.38060635328292847,0.9091061353683472,1.403045892715454,-0.3570541739463806,0.7815248370170593,1.423007607460022,0.3650550842285156,good
0.5249250531196594,0.24947284162044525,-0.3897361159324646,0.6489694714546204,0.18951615691184998,-0.5545428991317749,0.5948840975761414,0.21478448808193207,-0.02024465799331665,0.79719078540802,0.5122767090797424,-0.827990710735321,0.6615920662879944,0.5524727702140808,0.3452816605567932,0.9137400388717651,1.4033362865447998,-0.34926706552505493,0.7885810732841492,1.4323149919509888,0.35742151737213135,good
0.5363456010818481,0.23588696122169495,-0.46261462569236755,0.6544787287712097,0.1838076412677765,-0.5565735101699829,0.5932801365852356,0.2162589281797409,-0.02791053056716919,0.8105608224868774,0.5036710500717163,-0.7977250218391418,0.654431939125061,0.5612283945083618,0.3299139738082886,0.919946014881134,1.3930881023406982,-0.33110228180885315,0.7731088995933533,1.4303251504898071,0.33961671590805054,good
0.539837121963501,0.23474599421024323,-0.3705058693885803,0.6577976942062378,0.18918058276176453,-0.5596199035644531,0.602215051651001,0.21553130447864532,0.019283326342701912,0.8129661679267883,0.5063602328300476,-0.8470408320426941,0.6558974385261536,0.5667690634727478,0.3780580163002014,0.9228351712226868,1.4024235010147095,-0.35285699367523193,0.7752021551132202,1.4326294660568237,0.3612833619117737,good
0.5510386824607849,0.24551771581172943,-0.31926319003105164,0.664474368095398,0.18969081342220306,-0.4891674518585205,0.6232079267501831,0.20835494995117188,0.05885101109743118,0.8063994646072388,0.49997225403785706,-0.7665374875068665,0.6831443905830383,0.5477617383003235,0.3947131037712097,0.920140266418457,1.389949917793274,-0.3407481908798218,0.7824476957321167,1.4072532653808594,0.349952757358551,good
